,PA,AB,R,H,1B,2B,3B,HR,TB,BB,SO,RBI,DP,SB,AVG,OBP,SLG,OPS,ISO,BPF,oppOPS,TAv,VORP,FRAA,BWARP_TAv,BASES_VS_AB,G_RIGHTbatter_Std,PA_RIGHTbatter_Std,R_RIGHTbatter_Std,H_RIGHTbatter_Std,1B_RIGHTbatter_Std,2B_RIGHTbatter_Std,3B_RIGHTbatter_Std,HR_RIGHTbatter_Std,TB_RIGHTbatter_Std,SO_RIGHTbatter_Std,BB_RIGHTbatter_Std,HBP_RIGHTbatter_Std,SF_RIGHTbatter_Std,SH_RIGHTbatter_Std,RBI_RIGHTbatter_Std,DP_RIGHTbatter_Std,FB%_RIGHTbatter_Std,GB%_RIGHTbatter_Std,LD%_RIGHTbatter_Std,POP%_RIGHTbatter_Std,ISO_RIGHTbatter_Std,AVG_RIGHTbatter_Std,OBP_RIGHTbatter_Std,SLG_RIGHTbatter_Std,TAV_RIGHTbatter_Std,BASES_VS_AB_RIGHTbatter_Std,G_LEFT_batter_Std,PA_LEFT_batter_Std,R_LEFT_batter_Std,H_LEFT_batter_Std,1B_LEFT_batter_Std,2B_LEFT_batter_Std,3B_LEFT_batter_Std,HR_LEFT_batter_Std,TB_LEFT_batter_Std,SO_LEFT_batter_Std,BB_LEFT_batter_Std,HBP_LEFT_batter_Std,SF_LEFT_batter_Std,SH_LEFT_batter_Std,RBI_LEFT_batter_Std,DP_LEFT_batter_Std,FB%_LEFT_batter_Std,GB%_LEFT_batter_Std,LD%_LEFT_batter_Std,POP%_LEFT_batter_Std,ISO_LEFT_batter_Std,AVG_LEFT_batter_Std,OBP_LEFT_batter_Std,SLG_LEFT_batter_Std,TAV_LEFT_batter_Std,BASES_VS_AB_LEFT_batter_Std,SDTHB_BAT,SDTHB_BATR,SDTHB_BATL
SEA,483.22222222222223,437.44444444444446,52.0,108.44444444444444,69.88888888888889,19.444444444444443,2.111111111111111,17.0,183.11111111111111,36.22222222222222,100.11111111111111,59.888888888888886,10.444444444444445,5.222222222222222,0.24466666666666667,0.31244444444444447,0.4146666666666666,0.7267777777777777,0.16966666666666666,97.22222222222223,0.7282222222222223,0.2624444444444445,10.377777777777776,-1.111111111111111,0.958888888888889,0.4514444122013123,115.11111111111111,344.0,38.44444444444444,78.55555555555556,49.44444444444444,14.0,1.5555555555555556,13.555555555555555,136.33333333333334,70.33333333333333,24.444444444444443,3.111111111111111,2.5555555555555554,0.8888888888888888,44.44444444444444,8.0,26.573333333333338,40.76111111111111,25.065555555555555,7.6000000000000005,0.18322222222222223,0.24955555555555556,0.3115555555555556,0.43288888888888893,0.26733333333333337,0.46535857990576346,63.888888888888886,139.22222222222223,13.555555555555555,29.88888888888889,20.444444444444443,5.444444444444445,0.5555555555555556,3.4444444444444446,46.77777777777778,29.77777777777778,11.777777777777779,1.6666666666666667,0.5555555555555556,0.5555555555555556,15.444444444444445,3.5555555555555554,21.307777777777776,48.375555555555565,22.793333333333337,7.517777777777777,0.12344444444444444,0.21911111111111115,0.313,0.34244444444444444,0.247,0.4052308257741687,0.4514444122013123,0.46535857990576346,0.4052308257741687
TBA,288.7368421052632,256.10526315789474,32.8421052631579,65.78947368421052,44.78947368421053,12.631578947368421,1.7894736842105263,6.578947368421052,101.73684210526316,24.42105263157895,63.73684210526316,29.842105263157894,5.842105263157895,6.157894736842105,0.23794736842105263,0.30605263157894735,0.3693157894736842,0.6754210526315788,0.13147368421052633,98.78947368421052,0.7548947368421053,0.24484210526315786,9.189473684210528,0.8684210526315791,1.0410526315789472,0.41083053379130696,77.84210526315789,234.3684210526316,26.473684210526315,53.89473684210526,36.526315789473685,10.421052631578947,1.5789473684210527,5.368421052631579,83.57894736842105,50.89473684210526,19.157894736842106,3.5789473684210527,1.894736842105263,0.8947368421052632,23.63157894736842,5.947368421052632,18.403157894736847,45.673157894736846,24.405263157894737,6.255789473684212,0.1166315789473684,0.23357894736842108,0.30447368421052634,0.35026315789473683,0.23731578947368417,0.3957929199860299,42.78947368421053,88.57894736842105,9.736842105263158,20.157894736842106,13.473684210526315,4.0,0.631578947368421,2.0526315789473686,31.57894736842105,20.31578947368421,7.578947368421052,1.4210526315789473,0.8421052631578947,0.3684210526315789,9.736842105263158,2.263157894736842,20.729473684210525,46.14157894736842,21.212105263157895,6.655263157894735,0.13952631578947366,0.2347894736842105,0.2997894736842105,0.37426315789473685,0.24547368421052634,0.41171854350572773,0.41083053379130696,0.3957929199860299,0.41171854350572773
MIA,195.40740740740742,175.92592592592592,19.185185185185187,42.111111111111114,30.14814814814815,7.2592592592592595,0.7037037037037037,4.0,62.77777777777778,14.74074074074074,44.48148148148148,17.703703703703702,3.962962962962963,1.4074074074074074,0.17577777777777778,0.23374074074074075,0.23396296296296296,0.46770370370370373,0.05803703703703705,88.70370370370371,0.7154074074074075,0.1882222222222222,5.7185185185185174,-0.7333333333333334,0.5148148148148148,0.27313163596850504,53.51851851851852,149.14814814814815,15.296296296296296,32.74074074074074,23.555555555555557,5.444444444444445,0.48148148148148145,3.259259259259259,48.925925925925924,34.407407407407405,10.666666666666666,2.037037037037037,0.7777777777777778,0.7037037037037037,14.0,3.5925925925925926,12.207777777777777,60.54148148148148,18.70074074074074,4.847407407407407,0.06055555555555556,0.1592222222222222,0.21722222222222223,0.2197777777777778,0.18262962962962967,0.26119368650276126,26.814814814814813,51.77777777777778,4.555555555555555,10.592592592592593,7.518518518518518,2.0,0.25925925925925924,0.8148148148148148,15.555555555555555,11.296296296296296,4.444444444444445,0.6296296296296297,0.2962962962962963,0.2222222222222222,4.185185185185185,1.4814814814814814,12.02925925925926,51.06037037037037,20.28666666666666,9.215925925925925,0.051111111111111114,0.2114814814814815,0.2582962962962963,0.26251851851851854,0.1931111111111111,0.29322732959004344,0.27313163596850504,0.26119368650276126,0.29322732959004344
NYA,270.54545454545456,238.27272727272728,36.40909090909091,59.0,34.90909090909091,11.909090909090908,1.0,11.181818181818182,106.45454545454545,26.59090909090909,61.0,35.27272727272727,4.681818181818182,2.772727272727273,0.1992272727272727,0.26122727272727275,0.3395909090909091,0.6008636363636364,0.14045454545454544,106.27272727272727,0.7356818181818183,0.2117272727272728,9.309090909090909,1.2136363636363636,1.089090909090909,0.37625239131630567,67.0,207.5,28.40909090909091,45.40909090909091,27.272727272727273,9.136363636363637,0.7272727272727273,8.272727272727273,80.81818181818181,46.86363636363637,19.818181818181817,2.1363636363636362,2.227272727272727,0.2727272727272727,27.5,4.2727272727272725,26.455000000000005,40.824999999999996,20.727272727272727,11.992272727272727,0.1464090909090909,0.2012272727272727,0.2659090909090909,0.3476818181818182,0.21954545454545452,0.38484990632429084,37.36363636363637,76.45454545454545,9.590909090909092,16.40909090909091,9.181818181818182,3.3636363636363638,0.2727272727272727,3.590909090909091,31.09090909090909,17.863636363636363,7.863636363636363,0.5454545454545454,0.5454545454545454,0.18181818181818182,9.590909090909092,1.4545454545454546,24.634090909090904,39.67136363636363,24.030909090909088,7.117272727272726,0.15599999999999997,0.19172727272727272,0.2543636363636364,0.3477272727272727,0.2044545454545455,0.38585444445062206,0.37625239131630567,0.38484990632429084,0.38585444445062206
BAL,224.30434782608697,205.34782608695653,22.73913043478261,48.78260869565217,31.956521739130434,9.0,0.6086956521739131,7.217391304347826,80.65217391304348,15.26086956521739,52.391304347826086,22.347826086956523,5.304347826086956,2.260869565217391,0.19191304347826085,0.24599999999999997,0.30947826086956526,0.5554782608695651,0.1175217391304348,104.08695652173913,0.7098695652173914,0.1984782608695652,1.3347826086956522,-0.6086956521739131,0.07391304347826091,0.34382341949079204,59.95652173913044,172.04347826086956,18.304347826086957,37.47826086956522,23.91304347826087,7.434782608695652,0.391304347826087,5.739130434782608,62.91304347826087,41.608695652173914,11.347826086956522,1.7391304347826086,0.9130434782608695,0.34782608695652173,18.304347826086957,4.130434782608695,18.92478260869565,47.029565217391294,19.59086956521739,5.760869565217392,0.1176086956521739,0.19217391304347825,0.256695652173913,0.3099565217391304,0.20434782608695648,0.35503789996763774,31.782608695652176,72.43478260869566,6.695652173913044,15.73913043478261,10.869565217391305,2.347826086956522,0.30434782608695654,2.217391304347826,25.347826086956523,15.391304347826088,5.521739130434782,0.43478260869565216,0.5217391304347826,0.043478260869565216,6.782608695652174,2.1739130434782608,16.577391304347827,50.35956521739131,22.930434782608696,5.785652173913043,0.10713043478260871,0.17356521739130434,0.23386956521739133,0.2807391304347826,0.18573913043478257,0.32443173980190704,0.34382341949079204,0.35503789996763774,0.32443173980190704
ANA,234.27272727272728,208.3181818181818,28.59090909090909,50.77272727272727,31.681818181818183,9.454545454545455,0.8636363636363636,8.772727272727273,88.27272727272727,21.318181818181817,50.5,27.136363636363637,4.181818181818182,3.5,0.22595454545454546,0.29218181818181815,0.38413636363636366,0.6763636363636363,0.1581818181818182,99.36363636363636,0.7312727272727273,0.2464090909090909,8.19090909090909,0.7090909090909092,0.9231818181818183,0.4188430906564916,58.18181818181818,175.54545454545453,23.363636363636363,39.68181818181818,24.5,7.454545454545454,0.6818181818181818,7.045454545454546,69.63636363636364,37.59090909090909,15.454545454545455,1.9545454545454546,1.2272727272727273,0.13636363636363635,22.181818181818183,4.136363636363637,22.474999999999998,46.63454545454545,17.98,8.364090909090908,0.1441818181818182,0.18231818181818185,0.25595454545454543,0.3263636363636363,0.21445454545454543,0.37606453752213637,33.54545454545455,70.95454545454545,6.7727272727272725,13.727272727272727,9.090909090909092,2.4545454545454546,0.22727272727272727,1.9545454545454546,22.5,15.272727272727273,6.5,0.8181818181818182,0.5,0.045454545454545456,6.2272727272727275,1.5,26.332272727272724,42.56772727272727,21.138181818181813,5.417727272727273,0.23490909090909093,0.21531818181818185,0.27540909090909094,0.4502727272727272,0.2626818181818182,0.48695024358669253,0.4188430906564916,0.37606453752213637,0.48695024358669253
OAK,318.42105263157896,284.3157894736842,41.36842105263158,71.47368421052632,42.26315789473684,16.42105263157895,0.8947368421052632,11.894736842105264,125.36842105263158,27.789473684210527,70.47368421052632,39.94736842105263,7.052631578947368,1.8421052631578947,0.2250526315789474,0.2802631578947368,0.379157894736842,0.6595263157894738,0.15410526315789475,97.36842105263158,0.7342105263157894,0.23610526315789473,13.384210526315787,0.23157894736842116,1.4099999999999997,0.40968234954047106,74.84210526315789,221.78947368421052,29.736842105263158,50.1578947368421,29.68421052631579,11.157894736842104,0.7368421052631579,8.578947368421053,88.52631578947368,48.473684210526315,18.789473684210527,2.789473684210526,1.6842105263157894,0.2631578947368421,28.789473684210527,5.631578947368421,21.21105263157895,38.44,22.095789473684214,7.72578947368421,0.1583684210526316,0.2125263157894737,0.2677368421052632,0.3711578947368421,0.22763157894736843,0.4007131388819214,43.89473684210526,96.63157894736842,11.631578947368421,21.31578947368421,12.578947368421053,5.2631578947368425,0.15789473684210525,3.3157894736842106,36.8421052631579,22.0,9.0,0.9473684210526315,0.5789473684210527,0.05263157894736842,11.157894736842104,2.3684210526315788,22.074210526315788,41.61000000000001,18.68842105263158,7.101052631578947,0.13578947368421054,0.20705263157894738,0.26142105263157894,0.3427368421052632,0.22347368421052635,0.373093917216424,0.40968234954047106,0.4007131388819214,0.373093917216424
TOR,263.77272727272725,237.63636363636363,30.818181818181817,58.13636363636363,33.95454545454545,13.954545454545455,0.6818181818181818,9.545454545454545,102.0909090909091,21.818181818181817,59.68181818181818,29.954545454545453,5.181818181818182,1.9090909090909092,0.2368181818181819,0.30404545454545456,0.4018636363636364,0.706090909090909,0.1651818181818182,105.63636363636364,0.7259090909090911,0.2502272727272727,6.15,0.18181818181818185,0.6563636363636363,0.44468803211452296,68.0909090909091,196.63636363636363,23.818181818181817,43.77272727272727,25.40909090909091,10.727272727272727,0.5,7.136363636363637,76.9090909090909,44.36363636363637,17.454545454545453,2.0,1.1818181818181819,0.13636363636363635,22.90909090909091,4.590909090909091,23.877727272727274,44.29181818181818,25.10545454545455,6.7250000000000005,0.16995454545454544,0.24418181818181817,0.31059090909090914,0.4141363636363636,0.2590909090909091,0.4542193306348361,39.09090909090909,79.81818181818181,8.772727272727273,17.136363636363637,10.136363636363637,3.772727272727273,0.2727272727272727,2.9545454545454546,30.318181818181817,17.454545454545453,6.363636363636363,0.7272727272727273,0.5454545454545454,0.09090909090909091,8.681818181818182,2.0,23.75409090909091,44.73681818181818,24.139999999999997,7.368636363636364,0.14909090909090905,0.21068181818181814,0.2866818181818182,0.3599545454545454,0.23272727272727273,0.41013438053160933,0.44468803211452296,0.4542193306348361,0.41013438053160933
KCA,266.94736842105266,241.73684210526315,27.263157894736842,59.1578947368421,39.21052631578947,12.473684210526315,1.0,6.473684210526316,93.05263157894737,19.05263157894737,55.05263157894737,26.263157894736842,6.0,4.2105263157894735,0.2305263157894737,0.2847368421052631,0.35642105263157897,0.6413157894736842,0.126,102.3157894736842,0.7374210526315791,0.22789473684210526,3.0210526315789474,-0.9421052631578947,0.2157894736842105,0.3842087466940259,69.47368421052632,210.42105263157896,23.05263157894737,47.1578947368421,30.842105263157894,9.68421052631579,1.105263157894737,5.526315789473684,75.63157894736842,41.578947368421055,14.052631578947368,2.4210526315789473,1.263157894736842,0.9473684210526315,22.105263157894736,5.2631578947368425,22.26368421052631,41.98157894736842,28.57315789473684,7.182105263157894,0.13384210526315793,0.23399999999999999,0.28515789473684205,0.36773684210526314,0.2314736842105263,0.3990616733476363,41.36842105263158,86.84210526315789,7.842105263157895,18.57894736842105,12.789473684210526,4.052631578947368,0.15789473684210525,1.5789473684210527,27.68421052631579,19.0,7.052631578947368,1.6842105263157894,0.7894736842105263,0.15789473684210525,7.315789473684211,2.4210526315789473,23.33473684210526,44.50210526315789,25.952631578947365,6.211052631578947,0.10136842105263157,0.19821052631578953,0.2733684210526316,0.2995263157894737,0.2174736842105263,0.34890811953118456,0.3842087466940259,0.3990616733476363,0.34890811953118456
TEX,290.3333333333333,256.8095238095238,35.04761904761905,61.904761904761905,39.04761904761905,12.523809523809524,1.1428571428571428,9.19047619047619,104.28571428571429,26.38095238095238,69.61904761904762,33.0,4.809523809523809,3.4761904761904763,0.2040952380952381,0.2642857142857143,0.32623809523809527,0.5906666666666667,0.12214285714285714,107.0,0.7111428571428573,0.20990476190476193,6.2333333333333325,-1.3952380952380954,0.500952380952381,0.3612012184100347,70.9047619047619,205.95238095238096,25.285714285714285,43.80952380952381,27.428571428571427,8.857142857142858,0.6190476190476191,6.904761904761905,74.61904761904762,50.333333333333336,19.238095238095237,3.0952380952380953,1.1904761904761905,1.0,23.761904761904763,3.9047619047619047,21.653809523809525,43.08809523809524,21.582857142857144,8.915238095238095,0.13104761904761905,0.20790476190476193,0.2694285714285714,0.33890476190476193,0.2167619047619048,0.3737497505859414,44.19047619047619,95.85714285714286,11.047619047619047,20.80952380952381,13.333333333333334,4.285714285714286,0.5238095238095238,2.6666666666666665,34.142857142857146,22.19047619047619,7.9523809523809526,1.1904761904761905,0.47619047619047616,0.42857142857142855,10.238095238095237,2.142857142857143,22.200476190476188,52.962857142857146,19.011904761904763,5.825714285714286,0.12228571428571429,0.23685714285714288,0.29352380952380946,0.359095238095238,0.22690476190476194,0.3928480977902268,0.3612012184100347,0.3737497505859414,0.3928480977902268
BOS,330.5,295.3333333333333,46.27777777777778,79.66666666666667,48.0,18.944444444444443,1.6666666666666667,11.055555555555555,135.11111111111111,29.555555555555557,65.94444444444444,43.55555555555556,6.833333333333333,6.555555555555555,0.24283333333333332,0.30516666666666675,0.401,0.7062777777777777,0.1582222222222222,106.38888888888889,0.7347222222222223,0.24833333333333332,13.816666666666666,2.655555555555555,1.7066666666666666,0.44163804619421326,78.88888888888889,248.55555555555554,35.111111111111114,61.22222222222222,35.94444444444444,14.722222222222221,1.3333333333333333,9.222222222222221,106.27777777777777,47.05555555555556,21.77777777777778,2.4444444444444446,2.0,0.2777777777777778,33.333333333333336,6.0,20.1,45.375,28.712222222222223,5.814444444444444,0.1814444444444444,0.25566666666666665,0.31266666666666665,0.43722222222222223,0.2576111111111111,0.4701145849419345,43.55555555555556,81.94444444444444,11.166666666666666,18.444444444444443,12.055555555555555,4.222222222222222,0.3333333333333333,1.8333333333333333,28.833333333333332,18.88888888888889,7.777777777777778,0.3333333333333333,0.4444444444444444,0.1111111111111111,10.222222222222221,1.6111111111111112,18.94888888888889,45.36277777777778,23.886666666666667,6.245555555555556,0.09772222222222221,0.21700000000000003,0.2901666666666667,0.3145555555555556,0.22583333333333336,0.3736231024720545,0.44163804619421326,0.4701145849419345,0.3736231024720545
CHA,284.3333333333333,258.6190476190476,30.761904761904763,62.285714285714285,39.80952380952381,12.047619047619047,1.9047619047619047,8.523809523809524,103.71428571428571,20.0,74.38095238095238,29.857142857142858,4.666666666666667,4.619047619047619,0.2132857142857143,0.25923809523809527,0.3399047619047619,0.598952380952381,0.12657142857142858,102.52380952380952,0.7308571428571429,0.21704761904761904,4.952380952380952,-0.5857142857142857,0.4514285714285715,0.3618387350021881,72.0952380952381,218.33333333333334,24.19047619047619,47.80952380952381,30.285714285714285,8.952380952380953,1.380952380952381,7.190476190476191,81.0952380952381,56.142857142857146,14.619047619047619,2.5238095238095237,1.0476190476190477,0.8095238095238095,23.857142857142858,4.142857142857143,19.92095238095238,44.55238095238095,22.37333333333333,8.39047619047619,0.13004761904761905,0.21009523809523808,0.25495238095238093,0.34023809523809523,0.2146190476190476,0.36146662261623785,37.476190476190474,72.57142857142857,7.142857142857143,15.904761904761905,10.571428571428571,3.238095238095238,0.5238095238095238,1.5714285714285714,24.904761904761905,20.285714285714285,5.809523809523809,0.6190476190476191,0.42857142857142855,0.38095238095238093,6.761904761904762,1.619047619047619,21.83,40.59761904761905,26.72428571428571,6.084761904761905,0.11661904761904764,0.2093809523809524,0.2699047619047619,0.32585714285714285,0.2176190476190476,0.3627669104808515,0.3618387350021881,0.36146662261623785,0.3627669104808515
PHI,247.04347826086956,218.2173913043478,27.304347826086957,51.04347826086956,32.95652173913044,9.26086956521739,1.2173913043478262,7.608695652173913,85.56521739130434,23.565217391304348,61.0,26.217391304347824,4.0,2.869565217391304,0.18869565217391304,0.25404347826086954,0.30134782608695654,0.5553478260869565,0.11278260869565217,96.26086956521739,0.730391304347826,0.21226086956521742,8.621739130434785,-0.4260869565217392,0.8495652173913042,0.34329385208714774,65.26086956521739,186.65217391304347,20.26086956521739,38.608695652173914,24.08695652173913,7.478260869565218,0.9130434782608695,6.130434782608695,66.30434782608695,46.95652173913044,17.434782608695652,1.9130434782608696,1.0434782608695652,0.9130434782608695,19.565217391304348,3.652173913043478,19.312608695652177,50.06173913043479,18.73782608695652,7.539130434782607,0.11726086956521743,0.18478260869565216,0.24930434782608696,0.30208695652173917,0.21052173913043484,0.34351053508184587,34.08695652173913,60.21739130434783,7.0,12.347826086956522,8.782608695652174,1.7826086956521738,0.30434782608695654,1.4782608695652173,19.17391304347826,14.043478260869565,6.130434782608695,0.6521739130434783,0.2608695652173913,0.34782608695652173,6.608695652173913,1.0869565217391304,13.134782608695653,54.90608695652175,22.812608695652177,4.798695652173912,0.0862608695652174,0.1818260869565218,0.2441304347826087,0.2679565217391304,0.19578260869565214,0.3081433862304631,0.34329385208714774,0.34351053508184587,0.3081433862304631
