Unnamed: 0,NAME,HAND_pit,G_SIDE_pit,PA_SIDE_pit,AB_SIDE_pit,H_SIDE_pit,1B_SIDE_pit,2B_SIDE_pit,3B_SIDE_pit,HR_SIDE_pit,TB_SIDE_pit,SO_SIDE_pit,BB_SIDE_pit,HBP_SIDE_pit,SF_SIDE_pit,SH_SIDE_pit,DP_SIDE_pit,FB%_SIDE_pit,GB%_SIDE_pit,LD%_SIDE_pit,POP%_SIDE_pit,ISO_SIDE_pit,AVG_SIDE_pit,OBP_SIDE_pit,SLG_SIDE_pit,TAV_SIDE_pit,BASES_VS_AB_pit
253,JULIO TEHERAN,R,1,14,12,2,1,0,0,1,5,4,2,0,0,0,0,62.5,37.5,0.0,0.0,0.25,0.16699999999999998,0.28600000000000003,0.41700000000000004,0.235,0.5
254,JUNIOR GUERRA,L,2,4,4,1,0,0,0,1,4,0,0,0,0,0,0,25.0,0.0,25.0,50.0,0.75,0.25,0.25,1.0,0.435,1.0
255,JUNIOR GUERRA,R,2,6,6,1,1,0,0,0,1,1,0,0,0,0,0,40.0,20.0,20.0,20.0,0.0,0.16699999999999998,0.16699999999999998,0.16699999999999998,0.139,0.16666666666666666
256,JUSTIN ANDERSON,L,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,-0.009000000000000001,0.0
257,JUSTIN ANDERSON,R,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0.0,75.0,25.0,0.0,0.0,0.25,0.25,0.25,0.183,0.25
258,JUSTIN MILLER,R,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,1.0,1.0,1.0,0.6859999999999999,1.0
259,JUSTIN VERLANDER,L,1,15,13,1,0,0,0,1,4,5,0,2,0,0,0,25.0,62.5,12.5,0.0,0.231,0.077,0.2,0.308,0.242,0.26666666666666666
260,JUSTIN VERLANDER,R,1,12,11,2,1,1,0,0,3,4,1,0,0,0,0,0.0,57.14,42.86,0.0,0.091,0.182,0.25,0.273,0.195,0.3333333333333333
261,JUSTIN WILSON,L,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.0
262,JUSTIN WILSON,R,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.0
263,KELVIN HERRERA,L,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.006,0.0
264,KELVIN HERRERA,R,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0
265,KEN GILES,L,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0
266,KEN GILES,R,2,5,5,1,1,0,0,0,1,3,0,0,0,0,0,50.0,50.0,0.0,0.0,0.0,0.2,0.2,0.2,0.153,0.2
267,KENLEY JANSEN,L,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005,0.0
268,KENLEY JANSEN,R,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,-0.004,0.0
269,KENTA MAEDA,L,1,17,16,3,1,0,0,2,9,5,1,0,0,0,1,27.27,54.55,9.09,9.09,0.375,0.188,0.235,0.563,0.255,0.5882352941176471
270,KENTA MAEDA,R,1,8,7,2,1,0,0,1,5,1,1,0,0,0,1,50.0,33.33,16.67,0.0,0.429,0.28600000000000003,0.375,0.7140000000000001,0.33399999999999996,0.75
271,KEVIN MCCARTHY,R,1,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0.0,0.0,100.0,0.0,0.0,1.0,1.0,1.0,0.626,1.0
272,KIRBY YATES,L,2,6,5,1,1,0,0,0,1,3,1,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.2,0.33299999999999996,0.2,0.226,0.3333333333333333
273,KIRBY YATES,R,2,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.33299999999999996,0.0,0.215,0.0
274,KYLE BARRACLOUGH,L,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66.67,33.33,0.0,0.0,0.0,0.0,0.0,0.003,0.0
275,KYLE BARRACLOUGH,R,2,3,3,2,1,1,0,0,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.33299999999999996,0.667,0.667,1.0,0.551,1.0
276,KYLE BIRD,L,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.502,1.0
277,KYLE DOWDY,L,1,4,3,1,1,0,0,0,1,0,1,0,0,0,1,0.0,66.67,33.33,0.0,0.0,0.33299999999999996,0.5,0.33299999999999996,0.21100000000000002,0.5
278,KYLE DOWDY,R,1,7,6,3,1,1,0,1,7,1,1,0,0,0,0,60.0,40.0,0.0,0.0,0.667,0.5,0.5710000000000001,1.167,0.52,1.1428571428571428
279,KYLE FREELAND,L,1,1,1,1,0,0,0,1,4,0,0,0,0,0,0,100.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,1.9869999999999999,4.0
280,KYLE FREELAND,R,1,25,23,1,1,0,0,0,1,5,1,1,0,0,0,16.67,66.67,11.11,5.56,0.0,0.043,0.12,0.043,0.10400000000000001,0.08
281,LIAM HENDRIKS,L,1,3,1,0,0,0,0,0,0,1,1,0,0,1,0,0.0,100.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3,0.3333333333333333
282,LIAM HENDRIKS,R,3,8,5,1,1,0,0,0,1,1,2,0,1,0,2,20.0,80.0,0.0,0.0,0.0,0.2,0.375,0.2,0.20800000000000002,0.375
283,LOU TRIVINO,L,4,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0.0,33.33,0.0,66.67,0.0,0.0,0.0,0.0,-0.01,0.0
284,LOU TRIVINO,R,4,9,8,1,0,1,0,0,2,3,1,0,0,0,0,40.0,20.0,0.0,40.0,0.125,0.125,0.222,0.25,0.18899999999999997,0.3333333333333333
285,LUIS CASTILLO,L,1,14,12,1,1,0,0,0,1,6,2,0,0,0,0,16.67,33.33,33.33,16.67,0.0,0.083,0.214,0.083,0.13699999999999998,0.21428571428571427
286,LUIS CASTILLO,R,1,8,6,1,1,0,0,0,1,2,1,0,0,1,0,20.0,80.0,0.0,0.0,0.0,0.16699999999999998,0.28600000000000003,0.16699999999999998,0.19399999999999998,0.25
287,LUIS GARCIA,L,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,-0.009000000000000001,0.0
288,LUIS GARCIA,R,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009000000000000001,0.0
289,LUKE BARD,L,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,-0.009000000000000001,0.0
290,LUKE BARD,R,1,3,3,1,1,0,0,0,1,1,0,0,0,0,0,50.0,0.0,50.0,0.0,0.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.28,0.3333333333333333
291,LUKE JACKSON,L,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,50.0,50.0,0.0,0.0,0.0,0.0,0.33299999999999996,0.0,0.132,0.3333333333333333
292,LUKE JACKSON,R,1,4,3,2,1,0,0,1,5,0,1,0,0,0,0,33.33,66.67,0.0,0.0,1.0,0.667,0.75,1.6669999999999998,0.768,1.5
293,MADISON BUMGARNER,L,1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0
294,MADISON BUMGARNER,R,1,22,21,5,3,1,0,1,9,8,1,0,0,0,1,46.15,23.08,23.08,7.69,0.19,0.23800000000000002,0.273,0.429,0.22899999999999998,0.4545454545454545
295,MANNY BANUELOS,L,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015,0.0
296,MANNY BANUELOS,R,1,4,4,2,2,0,0,0,2,1,0,0,0,0,0,0.0,66.67,33.33,0.0,0.0,0.5,0.5,0.5,0.349,0.5
297,MARCO ESTRADA,L,2,20,19,0,0,0,0,0,0,4,1,0,0,0,0,40.0,13.33,6.67,40.0,0.0,0.0,0.05,0.0,0.024,0.05
298,MARCO ESTRADA,R,2,23,21,7,3,2,0,2,15,0,1,1,0,0,1,47.62,19.05,14.29,19.05,0.381,0.33299999999999996,0.391,0.7140000000000001,0.37799999999999995,0.6956521739130435
299,MARCO GONZALES,L,2,15,13,2,2,0,0,0,2,1,1,0,1,0,0,23.08,53.85,15.38,7.69,0.0,0.154,0.2,0.154,0.17600000000000002,0.2
300,MARCO GONZALES,R,2,37,36,14,6,6,0,2,26,7,1,0,0,0,2,31.03,34.48,24.14,10.34,0.33299999999999996,0.389,0.405,0.722,0.40299999999999997,0.7297297297297297
301,MARCUS STROMAN,L,1,9,8,1,1,0,0,0,1,3,1,0,0,0,0,60.0,20.0,20.0,0.0,0.0,0.125,0.222,0.125,0.153,0.2222222222222222
302,MARCUS STROMAN,R,1,16,13,1,1,0,0,0,1,4,3,0,0,0,1,11.11,66.67,11.11,11.11,0.0,0.077,0.25,0.077,0.145,0.25
303,MARK MELANCON,R,1,3,3,1,1,0,0,0,1,1,0,0,0,0,1,0.0,50.0,50.0,0.0,0.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.139,0.3333333333333333
304,MASAHIRO TANAKA,L,1,13,13,3,3,0,0,0,3,3,0,0,0,0,0,10.0,70.0,20.0,0.0,0.0,0.231,0.231,0.231,0.166,0.2307692307692308
305,MASAHIRO TANAKA,R,1,9,9,3,2,1,0,0,4,2,0,0,0,0,0,42.86,42.86,14.29,0.0,0.111,0.33299999999999996,0.33299999999999996,0.444,0.239,0.4444444444444444
306,MATT ALBERS,L,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013000000000000001,0.0
307,MATT ALBERS,R,1,4,3,1,1,0,0,0,1,1,1,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.33299999999999996,0.5,0.33299999999999996,0.35700000000000004,0.5
308,MATTHEW ANDRIESE,L,1,4,3,0,0,0,0,0,0,0,1,0,0,0,0,33.33,66.67,0.0,0.0,0.0,0.0,0.25,0.0,0.153,0.25
309,MATTHEW ANDRIESE,R,1,7,3,0,0,0,0,0,0,0,3,1,0,0,0,0.0,66.67,33.33,0.0,0.0,0.0,0.5710000000000001,0.0,0.34299999999999997,0.42857142857142855
310,MATT BARNES,L,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013999999999999999,0.0
311,MATT BARNES,R,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013000000000000001,0.0
312,MATT BOYD,L,1,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.5,0.5,0.5,0.306,0.5
313,MATT BOYD,R,1,19,18,4,3,0,1,0,6,9,1,0,0,0,0,22.22,33.33,22.22,22.22,0.111,0.222,0.263,0.33299999999999996,0.207,0.3684210526315789
314,MATTHEW FESTA,L,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.298,0.5
315,MATTHEW FESTA,R,2,8,8,1,1,0,0,0,1,1,0,0,0,0,0,14.29,42.86,28.57,14.29,0.0,0.125,0.125,0.125,0.09300000000000001,0.125
316,MATT GRACE,L,2,4,4,2,2,0,0,0,2,1,0,0,0,0,0,0.0,0.0,66.67,33.33,0.0,0.5,0.5,0.5,0.34700000000000003,0.5
317,MATT HARVEY,L,1,9,6,1,1,0,0,0,1,0,3,0,0,0,0,16.67,66.67,0.0,16.67,0.0,0.16699999999999998,0.444,0.16699999999999998,0.28300000000000003,0.4444444444444444
318,MATT HARVEY,R,1,15,15,3,1,1,0,1,7,1,0,0,0,0,1,28.57,42.86,14.29,14.29,0.267,0.2,0.2,0.467,0.21600000000000003,0.4666666666666667
319,MATT SHOEMAKER,L,1,9,8,0,0,0,0,0,0,4,1,0,0,0,0,0.0,50.0,50.0,0.0,0.0,0.0,0.111,0.0,0.077,0.1111111111111111
320,MATT SHOEMAKER,R,1,16,15,2,0,1,1,0,5,3,1,0,0,0,0,8.33,50.0,8.33,33.33,0.2,0.133,0.188,0.33299999999999996,0.179,0.375
321,MATTHEW KOCH,L,2,13,12,6,3,0,0,3,15,0,0,1,0,0,0,50.0,8.33,33.33,8.33,0.75,0.5,0.5379999999999999,1.25,0.613,1.1538461538461535
322,MATTHEW KOCH,R,2,13,10,2,1,0,0,1,5,1,2,1,0,0,0,33.33,11.11,22.22,33.33,0.3,0.2,0.385,0.5,0.327,0.5384615384615384
323,MAX FRIED,R,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005,0.0
324,MAX SCHERZER,L,1,16,13,1,0,0,0,1,4,6,3,0,0,0,0,57.14,28.57,14.29,0.0,0.231,0.077,0.25,0.308,0.209,0.4375
325,MAX SCHERZER,R,1,12,12,1,1,0,0,0,1,6,0,0,0,0,0,0.0,83.33,16.67,0.0,0.0,0.083,0.083,0.083,0.064,0.08333333333333333
326,MIGUEL CASTRO,L,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0
327,MIGUEL CASTRO,R,1,7,6,1,1,0,0,0,1,0,1,0,0,0,0,0.0,83.33,0.0,16.67,0.0,0.16699999999999998,0.28600000000000003,0.16699999999999998,0.18100000000000002,0.2857142857142857
328,MIKE DUNN,L,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.5,0.5,0.5,0.363,0.5
329,MIKE DUNN,R,2,4,3,0,0,0,0,0,0,0,1,0,0,0,0,66.67,33.33,0.0,0.0,0.0,0.0,0.25,0.0,0.16899999999999998,0.25
330,MIKE FIERS,L,2,15,12,3,2,1,0,0,4,0,2,1,0,0,1,33.33,41.67,16.67,8.33,0.083,0.25,0.4,0.33299999999999996,0.263,0.4
331,MIKE FIERS,R,2,22,18,2,1,0,0,1,5,5,3,1,0,0,1,23.08,30.77,15.38,30.77,0.16699999999999998,0.111,0.273,0.278,0.204,0.3636363636363637
332,MIKE LEAKE,L,1,18,16,6,5,1,0,0,7,5,2,0,0,0,0,0.0,81.82,18.18,0.0,0.063,0.375,0.444,0.43799999999999994,0.32899999999999996,0.5
333,MIKE LEAKE,R,1,9,9,1,1,0,0,0,1,2,0,0,0,0,0,28.57,0.0,42.86,28.57,0.0,0.111,0.111,0.111,0.094,0.1111111111111111
334,MIKE MAYERS,L,1,4,3,0,0,0,0,0,0,2,1,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.25,0.0,0.10800000000000001,0.25
335,MIKE MAYERS,R,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.248,0.3333333333333333
336,MIKE MINOR,L,1,5,3,2,2,0,0,0,2,0,2,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.667,0.8,0.667,0.441,0.8
337,MIKE MINOR,R,1,16,15,3,1,1,0,1,7,3,0,1,0,0,1,25.0,66.67,8.33,0.0,0.267,0.2,0.25,0.467,0.214,0.4375
338,MICHAEL MONTGOMERY,L,1,1,1,1,0,0,0,1,4,0,0,0,0,0,0,100.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,1.4169999999999998,4.0
339,MICHAEL MONTGOMERY,R,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0
340,MIKE WRIGHT,L,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0
341,MIKE WRIGHT,R,2,7,4,1,1,0,0,0,1,2,1,1,1,0,0,100.0,0.0,0.0,0.0,0.0,0.25,0.429,0.25,0.316,0.2857142857142857
342,MILES MIKOLAS,L,1,9,8,2,0,0,0,2,8,0,1,0,0,0,0,50.0,37.5,0.0,12.5,0.75,0.25,0.33299999999999996,1.0,0.461,1.0
343,MILES MIKOLAS,R,1,12,12,3,2,0,0,1,6,3,0,0,0,0,0,11.11,66.67,22.22,0.0,0.25,0.25,0.25,0.5,0.271,0.5
344,MYCHAL GIVENS,R,1,4,4,1,1,0,0,0,1,3,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.25,0.25,0.25,0.17300000000000001,0.25
345,NATE JONES,R,2,4,3,1,1,0,0,0,1,1,1,0,0,0,0,0.0,50.0,50.0,0.0,0.0,0.33299999999999996,0.5,0.33299999999999996,0.312,0.5
346,NATE KARNS,L,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0
347,NATE KARNS,R,1,8,5,1,1,0,0,0,1,1,3,0,0,0,1,0.0,100.0,0.0,0.0,0.0,0.2,0.5,0.2,0.256,0.5
348,NATHAN EOVALDI,L,1,11,8,3,1,0,0,2,9,0,1,0,2,0,0,40.0,20.0,30.0,10.0,0.75,0.375,0.364,1.125,0.53,0.9090909090909092
349,NATHAN EOVALDI,R,1,15,14,5,2,2,0,1,10,3,1,0,0,0,0,18.18,18.18,63.64,0.0,0.35700000000000004,0.35700000000000004,0.4,0.7140000000000001,0.45799999999999996,0.7333333333333333
350,NICK ANDERSON,L,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.032,0.0
351,NICK ANDERSON,R,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.034,0.0
352,NICK BURDI,L,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0
353,NICK BURDI,R,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0
354,NICK MARGEVICIUS,L,1,9,7,3,2,1,0,0,4,0,0,2,0,0,0,14.29,28.57,42.86,14.29,0.14300000000000002,0.429,0.556,0.5710000000000001,0.39799999999999996,0.4444444444444444
355,NICK MARGEVICIUS,R,1,10,10,0,0,0,0,0,0,5,0,0,0,0,1,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018000000000000002,0.0
356,NICK PIVETTA,L,1,10,9,5,3,1,1,0,8,0,1,0,0,0,0,22.22,22.22,55.56,0.0,0.33299999999999996,0.556,0.6,0.889,0.512,0.9
357,NICK PIVETTA,R,1,12,12,3,2,0,0,1,6,4,0,0,0,0,1,0.0,37.5,50.0,12.5,0.25,0.25,0.25,0.5,0.244,0.5
358,NICK RUMBELOW,L,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,1.0,1.0,1.0,0.802,1.0
359,NICK RUMBELOW,R,2,5,4,1,0,0,0,1,4,2,1,0,0,0,0,50.0,50.0,0.0,0.0,0.75,0.25,0.4,1.0,0.618,1.0
360,NICK VINCENT,L,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0
361,NICK VINCENT,R,1,2,2,1,1,0,0,0,1,0,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0,0.5,0.5,0.5,0.207,0.5
362,NOAH SYNDERGAARD,L,1,6,5,3,2,1,0,0,4,1,0,1,0,0,0,25.0,75.0,0.0,0.0,0.2,0.6,0.667,0.8,0.485,0.6666666666666666
363,NOAH SYNDERGAARD,R,1,19,18,4,1,2,0,1,9,6,0,0,1,0,0,15.38,61.54,23.08,0.0,0.278,0.222,0.21100000000000002,0.5,0.248,0.4736842105263158
364,NOE RAMIREZ,L,1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0
365,NOE RAMIREZ,R,1,6,5,2,2,0,0,0,2,2,1,0,0,0,0,0.0,66.67,33.33,0.0,0.0,0.4,0.5,0.4,0.344,0.5
366,OLIVER PEREZ,L,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
367,OLIVER PEREZ,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.56,0.0
368,PABLO LOPEZ,L,1,10,9,3,3,0,0,0,3,4,0,0,1,0,0,16.67,50.0,16.67,16.67,0.0,0.33299999999999996,0.3,0.33299999999999996,0.261,0.3
369,PABLO LOPEZ,R,1,12,11,2,2,0,0,0,2,3,0,1,0,0,0,37.5,25.0,37.5,0.0,0.0,0.182,0.25,0.182,0.188,0.16666666666666666
370,PAT NESHEK,L,2,3,3,1,1,0,0,0,1,2,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.242,0.3333333333333333
371,PAT NESHEK,R,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,-0.16899999999999998,0.0
372,PAUL FRY,L,1,2,2,1,0,0,0,1,4,0,0,0,0,0,0,50.0,50.0,0.0,0.0,1.5,0.5,0.5,2.0,0.723,2.0
373,PAUL FRY,R,1,4,3,1,0,1,0,0,2,2,1,0,0,0,0,0.0,0.0,100.0,0.0,0.33299999999999996,0.33299999999999996,0.5,0.667,0.355,0.75
374,PEDRO BAEZ,L,1,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.33299999999999996,0.0,0.191,0.3333333333333333
375,PEDRO BAEZ,R,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006,0.0
376,PEDRO STROP,L,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0
377,PEDRO STROP,R,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.5,0.5,0.5,0.326,0.5
378,PHIL MATON,L,1,3,3,1,0,1,0,0,2,0,0,0,0,0,0,0.0,33.33,33.33,33.33,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.667,0.332,0.6666666666666666
379,PHIL MATON,R,2,2,2,1,0,0,0,1,4,1,0,0,0,0,0,100.0,0.0,0.0,0.0,1.5,0.5,0.5,2.0,0.813,2.0
